timestamp,pressure_kpa,volume_db,frequency_hz,cycle_number,audio_file,event_type
03:14.5,0,0,667.5,0,V91-The Hour-LR80.mp3,hooray_started
04:22.7,0,0,667.5,0,V91-The Hour-LR80.mp3,hooray_started
52:51.1,0,0,1690.4,0,EM-11-1st try to get your cum.Mp3,hooray_started
49:12.2,0,0,689.1,0,V91-How Long Can You Last.mp3,hooray_started
49:36.2,0,0,667.5,0,V91-How Long Can You Last.mp3,hooray_started
50:39.1,0,0,667.5,0,V91-How Long Can You Last.mp3,hooray_started
50:51.3,0,0,689.1,0,V91-How Long Can You Last.mp3,hooray_started
18:38.4,0,0,1468.8,0,Claude -Sunday Fun Time.mp3,hooray_started
31:34.0,0,0,562.5,0,Claude -Sunday Fun Time.mp3,hooray_started
34:37.4,0,0,562.5,0,Claude -Sunday Fun Time.mp3,hooray_started
35:22.7,0,0,562.5,0,Claude -Sunday Fun Time.mp3,hooray_started
35:50.0,0,0,562.5,0,Claude -Sunday Fun Time.mp3,hooray_started
57:31.7,0,0,667.5,0,On the edge of the world.mp3,hooray_started
58:12.5,0,0,667.5,0,On the edge of the world.mp3,hooray_started
58:41.1,0,0,667.5,0,On the edge of the world.mp3,hooray_started
59:48.0,0,0,667.5,0,On the edge of the world.mp3,hooray_started
02:37.5,0,0,667.5,0,On the edge of the world.mp3,hooray_started
04:03.9,0,0,667.5,0,On the edge of the world.mp3,hooray_started
07:22.1,0,0,689.1,0,On the edge of the world.mp3,hooray_started
07:42.5,0,0,667.5,0,On the edge of the world.mp3,hooray_started
08:03.1,0,0,646,0,On the edge of the world.mp3,hooray_started
08:22.7,0,0,667.5,0,On the edge of the world.mp3,hooray_started
08:49.2,0,0,667.5,0,On the edge of the world.mp3,hooray_started
10:32.6,0,0,667.5,0,On the edge of the world.mp3,hooray_started
10:52.8,0,0,667.5,0,On the edge of the world.mp3,hooray_started
21:03.1,0,0,667.5,0,On the edge of the world.mp3,hooray_started
21:55.9,0,0,667.5,0,On the edge of the world.mp3,hooray_started
22:23.7,0,0,667.5,0,On the edge of the world.mp3,hooray_started
55:49.6,0,0,602.9,0,Claude-Saturday Pleasure.mp3,hooray_started
14:35.2,0,0,796.9,0,Claude -Sunday Fun Time.mp3,hooray_started
02:57.6,0,0,2002.6,0,TJ finisher triphase prostate.mp3,hooray_started
03:54.0,0,0,2024.1,0,TJ finisher triphase prostate.mp3,hooray_started
53:58.6,0,0,0,0,a6f7e4803f0e3d82db31353984ea953cb7949ba7.mp3,hooray_started
54:34.4,0,0,398.4,0,a6f7e4803f0e3d82db31353984ea953cb7949ba7.mp3,hooray_started
54:58.4,0,0,0,0,a6f7e4803f0e3d82db31353984ea953cb7949ba7.mp3,hooray_started
56:00.3,0,0,398.4,0,a6f7e4803f0e3d82db31353984ea953cb7949ba7.mp3,hooray_started
56:27.9,0,0,398.4,0,a6f7e4803f0e3d82db31353984ea953cb7949ba7.mp3,hooray_started
56:58.1,0,0,398.4,0,a6f7e4803f0e3d82db31353984ea953cb7949ba7.mp3,hooray_started
50:22.5,0,0,710.6,0,Claude-SSG-C.37--Puissance.mp3,hooray_started
50:37.4,0,0,699.8,0,Claude-SSG-C.37--Puissance.mp3,hooray_started
52:01.7,0,0,710.6,0,Claude-Saturday Pleasure.mp3,hooray_started
48:47.2,0,0,796.9,0,Pounder - On Flutter - Pound 0-25-0-25-0-01.mp3,hooray_started
47:10.3,0,0,398.4,0,EM-04-Oh I am loving teasing you!.Mp3,hooray_started
41:47.3,0,0,796.9,0,Pounder-03 - Stroke 1-50-50 - Pound 3.mp3,hooray_started
42:04.8,0,0,1216.6,0,Claude-SSG-C.5- head torture.mp3,hooray_started
40:11.4,0,0,398.4,0,Sybianne22.mp3,hooray_started
40:59.9,0,0,2401,0,Gentle BJ w Attack.Mp3,hooray_started
38:52.6,0,0,850.6,0,EFun-800-Blast Me 10.Mp3,hooray_started
39:10.1,0,0,850.6,0,EFun-800-Blast Me 10.Mp3,hooray_started
35:42.2,0,0,1302.8,0,Sybianne19.mp3,hooray_started
36:00.2,0,0,1302.8,0,Sybianne19.mp3,hooray_started
36:38.3,0,0,850.6,0,EFun-800-Vibe 25 A - Vibe 25 B.Mp3,hooray_started
36:58.8,0,0,850.6,0,EFun-800-Vibe 25 A - Vibe 25 B.Mp3,hooray_started
37:39.2,0,0,602.9,0,tjenkins - for merlot_vin.mp3,hooray_started
