Timestamp,Intensity (kPa),Hooray Cycle #
08:20.3,6.71,0
08:20.4,6.71,0
08:20.5,6.66,0
08:20.6,6.71,0
08:20.7,6.71,0
08:20.8,6.71,0
08:20.9,6.71,0
08:21.0,6.66,0
08:21.1,6.76,0
08:21.2,6.71,0
08:21.3,6.71,0
08:21.4,6.66,0
08:21.5,6.71,0
08:21.6,6.66,0
08:21.7,6.66,0
08:21.8,6.71,0
08:21.9,6.66,0
08:22.0,6.71,0
08:22.1,6.71,0
08:22.2,6.71,0
08:22.3,6.71,0
08:22.4,6.71,0
08:22.5,6.71,0
08:22.6,6.71,0
08:22.7,6.71,0
08:22.8,6.71,0
08:22.9,6.71,0
08:23.0,6.71,0
08:23.1,6.71,0
08:23.2,6.71,0
08:23.3,6.71,0
08:23.4,6.71,0
08:23.5,6.71,0
08:23.6,6.71,0
08:23.7,6.66,0
08:23.8,6.76,0
08:23.9,6.71,0
08:24.0,6.71,0
08:24.1,6.66,0
08:24.2,6.71,0
08:24.3,6.71,0
08:24.4,6.71,0
08:24.5,6.66,0
08:24.6,6.66,0
08:24.7,6.71,0
08:24.8,6.71,0
08:24.9,6.66,0
08:25.0,6.71,0
08:25.1,6.71,0
08:25.2,6.66,0
08:25.3,6.71,0
08:25.4,6.71,0
08:25.5,6.66,0
08:25.6,6.66,0
08:25.7,6.71,0
08:25.8,6.71,0
08:25.9,6.71,0
08:26.0,6.71,0
08:26.1,6.66,0
08:26.2,6.71,0
08:26.3,6.71,0
08:26.4,6.71,0
08:26.5,6.66,0
08:26.6,6.71,0
08:26.7,6.71,0
08:26.8,6.71,0
08:26.9,6.71,0
08:27.0,6.71,0
08:27.1,6.71,0
08:27.2,6.71,0
08:27.3,6.71,0
08:27.4,6.71,0
08:27.5,6.66,0
08:27.6,6.71,0
08:27.7,6.66,0
08:27.8,6.66,0
08:27.9,6.66,0
08:28.0,6.71,0
08:28.1,6.71,0
08:28.2,6.71,0
08:28.3,6.71,0
08:28.4,6.71,0
08:28.5,6.71,0
08:28.6,6.71,0
08:28.7,6.71,0
08:28.8,6.71,0
08:28.9,6.71,0
08:29.0,6.71,0
08:29.1,6.76,0
08:29.2,6.66,0
08:29.3,6.71,0
08:29.4,6.71,0
08:29.5,6.71,0
08:29.6,6.71,0
08:29.7,6.71,0
08:29.8,6.66,0
08:29.9,6.71,0
08:30.0,6.71,0
08:30.1,6.66,0
08:30.2,6.71,0
08:30.3,6.71,0
08:30.4,6.71,0
08:30.5,6.71,0
08:30.6,6.71,0
08:30.7,6.71,0
08:30.8,6.71,0
08:30.9,6.71,0
08:31.0,6.66,0
08:31.1,6.71,0
08:31.2,6.71,0
08:31.3,6.66,0
08:31.4,6.71,0
08:31.5,6.71,0
08:31.6,6.71,0
08:31.7,6.71,0
08:31.8,6.71,0
08:31.9,6.71,0
08:32.0,6.66,0
08:32.1,6.71,0
08:32.2,6.66,0
08:32.3,6.66,0
08:32.4,6.66,0
08:32.5,6.71,0
08:32.6,6.71,0
08:32.7,6.71,0
08:32.8,6.71,0
08:32.9,6.71,0
08:33.0,6.66,0
08:33.1,6.66,0
08:33.2,6.66,0
08:33.3,6.71,0
08:33.4,6.66,0
08:33.5,6.71,0
08:33.6,6.66,0
08:33.7,6.71,0
08:33.8,6.71,0
08:33.9,6.71,0
08:34.0,6.66,0
08:34.1,6.66,0
08:34.2,6.71,0
08:34.3,6.66,0
08:34.4,6.71,0
08:34.5,6.71,0
08:34.6,6.71,0
08:34.7,6.71,0
08:34.8,6.71,0
08:34.9,6.71,0
08:35.0,6.71,0
08:35.1,6.71,0
08:35.2,6.71,0
08:35.3,6.71,0
08:35.4,6.71,0
08:35.5,6.71,0
08:35.6,6.71,0
08:35.7,6.66,0
08:35.8,6.66,0
08:35.9,6.71,0
08:36.0,6.71,0
08:36.1,6.66,0
08:36.2,6.71,0
08:36.3,6.66,0
08:36.4,6.71,0
08:36.5,6.71,0
08:36.6,6.66,0
08:36.7,6.71,0
08:36.8,6.71,0
08:36.9,6.71,0
08:37.0,6.71,0
08:37.1,6.71,0
08:37.2,6.71,0
08:37.3,6.71,0
08:37.4,6.66,0
08:37.5,6.71,0
08:37.6,6.71,0
08:37.7,6.71,0
08:37.8,6.71,0
08:37.9,6.66,0
08:38.0,6.71,0
08:38.1,6.71,0
08:38.2,6.71,0
08:38.3,6.71,0
08:38.4,6.66,0
08:38.5,6.66,0
08:38.6,6.71,0
08:38.7,6.71,0
08:38.8,6.66,0
08:38.9,6.71,0
08:39.0,6.71,0
08:39.1,6.71,0
08:39.2,6.71,0
08:39.3,6.66,0
08:39.4,6.71,0
08:39.5,6.71,0
08:39.6,6.71,0
08:39.7,6.71,0
08:39.8,6.66,0
08:39.9,6.66,0
08:40.0,6.76,0
08:40.1,6.71,0
08:40.2,6.71,0
08:40.3,6.71,0
08:40.4,6.66,0
08:40.5,6.66,0
08:40.6,6.71,0
08:40.7,6.66,0
08:40.8,6.66,0
08:40.9,6.71,0
08:41.0,6.71,0
08:41.1,6.71,0
08:41.2,6.66,0
08:41.3,6.66,0
08:41.4,6.71,0
08:41.5,6.71,0
08:41.6,6.71,0
08:41.7,6.66,0
08:41.8,6.71,0
08:41.9,6.71,0
08:42.0,6.66,0
08:42.1,6.71,0
08:42.2,6.66,0
08:42.3,6.71,0
08:42.4,6.71,0
08:42.5,6.71,0
08:42.6,6.71,0
08:42.7,6.71,0
08:42.8,6.71,0
08:42.9,6.71,0
08:43.0,6.71,0
08:43.1,6.71,0
08:43.2,6.66,0
08:43.3,6.66,0
08:43.4,6.76,0
08:43.5,6.66,0
08:43.6,6.71,0
08:43.7,6.66,0
08:43.8,6.66,0
08:43.9,6.66,0
08:44.0,6.66,0
08:44.1,6.66,0
08:44.2,6.66,0
08:44.3,6.71,0
08:44.4,6.66,0
08:44.5,6.66,0
08:44.6,6.66,0
08:44.7,6.66,0
08:44.8,6.66,0
08:44.9,6.66,0
08:45.0,6.82,0
08:45.1,6.82,0
08:45.2,6.66,0
08:45.3,6.66,0
08:45.4,6.66,0
08:45.5,6.66,0
08:45.6,6.66,0
08:45.7,6.66,0
08:45.8,6.66,0
08:45.9,6.66,0
08:46.0,6.71,0
08:46.1,6.71,0
08:46.2,6.66,0
08:46.3,6.56,0
08:46.4,6.66,0
08:46.5,6.82,0
08:46.6,6.82,0
08:46.7,6.82,0
08:46.8,6.76,0
08:46.9,6.87,0
08:47.0,6.82,0
08:47.1,6.76,0
08:47.2,6.82,0
08:47.3,6.82,0
08:47.4,6.82,0
08:47.5,6.82,0
08:47.6,6.82,0
08:47.7,6.82,0
08:47.8,6.87,0
08:47.9,6.82,0
08:48.0,6.82,0
08:48.1,6.76,0
08:48.2,6.76,0
08:48.3,6.76,0
08:48.4,6.71,0
08:48.5,6.76,0
08:48.6,6.76,0
08:48.7,6.82,0
08:48.8,6.82,0
08:48.9,6.87,0
08:49.0,6.71,0
08:49.1,6.76,0
08:49.2,6.76,0
08:49.3,6.87,0
08:49.4,7.44,0
08:49.5,7.08,0
08:49.6,6.87,0
08:49.7,6.87,0
08:49.8,6.87,0
08:49.9,6.76,0
08:50.0,6.76,0
08:50.1,6.82,0
08:50.2,6.82,0
08:50.3,6.87,0
08:50.4,6.92,0
08:50.5,7.08,0
08:50.6,7.08,0
08:50.7,6.97,0
08:50.8,6.87,0
08:50.9,6.87,0
08:51.0,6.82,0
08:51.1,7.02,0
08:51.2,6.97,0
08:51.3,6.97,0
08:51.4,6.82,0
08:51.5,6.82,0
08:51.6,6.87,0
08:51.7,6.87,0
08:51.8,6.76,0
08:51.9,6.76,0
08:52.0,6.76,0
08:52.1,6.76,0
08:52.2,6.71,0
08:52.3,6.71,0
08:52.4,6.71,0
08:52.5,6.71,0
08:52.6,6.71,0
08:52.7,6.82,0
08:52.8,6.92,0
08:52.9,6.87,0
08:53.0,6.76,0
08:53.1,6.76,0
08:53.2,6.76,0
08:53.3,4.11,0
08:53.4,3.02,0
08:53.5,2.08,0
08:53.6,1.3,0
08:53.7,0.57,0
08:53.8,-0.31,0
08:53.9,-0.68,0
08:54.0,-0.83,0
08:54.1,-0.83,0
08:54.2,-0.83,0
08:54.3,-0.78,0
08:54.4,-0.83,0
08:54.5,-0.83,0
08:54.6,-0.73,0
08:54.7,-0.83,0
08:54.8,-0.88,0
08:54.9,-0.94,0
08:55.0,-0.88,0
08:55.1,-0.83,0
08:55.2,-0.83,0
08:55.3,-0.88,0
08:55.4,-0.73,0
08:55.5,-0.26,0
08:55.6,-0.52,0
08:55.7,-0.68,0
08:55.8,-0.83,0
08:55.9,-0.57,0
08:56.0,-0.31,0
08:56.1,-0.47,0
08:56.2,-0.31,0
08:56.3,-0.42,0
08:56.4,-0.68,0
08:56.5,-0.78,0
08:56.6,-0.83,0
08:56.7,-0.57,0
08:56.8,-0.68,0
08:56.9,-0.83,0
08:57.0,-0.68,0
08:57.1,-0.57,0
08:57.2,-0.26,0
08:57.3,0.1,0
08:57.4,0,0
08:57.5,-0.26,0
08:57.6,-0.42,0
08:57.7,-0.26,0
08:57.8,-0.31,0
08:57.9,-0.21,0
08:58.0,1.56,0
08:58.1,4.16,0
08:58.2,4.63,0
08:58.3,0.36,0
08:58.4,-0.73,0
08:58.5,-0.78,0
08:58.6,-0.73,0
08:58.7,-0.73,0
08:58.8,-0.73,0
08:58.9,-0.62,0
08:59.0,-0.47,0
08:59.1,-0.52,0
08:59.2,-0.36,0
08:59.3,-0.26,0
08:59.4,-0.36,0
08:59.5,-0.31,0
08:59.6,-0.36,0
08:59.7,-0.47,0
08:59.8,-0.47,0
08:59.9,-0.68,0
09:00.0,-0.47,0
09:00.1,-0.57,0
09:00.2,-0.52,0
09:00.3,-0.57,0
09:00.4,-0.52,0
09:00.5,-0.52,0
09:00.6,-0.62,0
09:00.7,-0.62,0
09:00.8,-0.62,0
09:00.9,-0.62,0
09:01.0,-0.62,0
09:01.1,-0.57,0
09:01.2,-0.57,0
09:01.3,-0.52,0
09:01.4,-0.47,0
09:01.5,-0.31,0
09:01.6,-0.26,0
09:01.7,-0.21,0
09:01.8,-0.31,0
09:01.9,-0.52,0
09:02.0,-0.68,0
09:02.1,-0.52,0
09:02.2,-0.68,0
09:02.3,-0.57,0
09:02.4,-0.47,0
09:02.5,-0.47,0
09:02.6,-0.47,0
09:02.7,-0.57,0
09:02.8,-0.36,0
09:02.9,-0.36,0
09:03.0,-0.52,0
09:03.1,-0.42,0
09:03.2,-0.42,0
09:03.3,0.16,0
09:03.4,-0.36,0
09:03.5,-0.52,0
09:03.6,-0.16,0
09:03.7,-0.21,0
09:03.8,-0.47,0
09:03.9,-0.26,0
09:04.0,-0.31,0
09:04.1,-0.21,0
09:04.2,-0.1,0
09:04.3,-0.62,0
09:04.4,-0.26,0
09:04.5,-0.62,0
09:04.6,-0.36,0
09:04.7,-0.31,0
09:04.8,-0.42,0
09:04.9,-0.36,0
09:05.0,-0.16,0
09:05.1,0.21,0
09:05.2,0.05,0
09:05.3,-0.47,0
09:05.4,-0.36,0
09:05.5,-0.36,0
09:05.6,-0.26,0
09:05.7,-0.73,0
09:05.8,-0.73,0
09:05.9,-0.73,0
09:06.0,-0.73,0
09:06.1,-0.73,0
09:06.2,-0.52,0
09:06.3,-0.57,0
09:06.4,-0.57,0
09:06.5,-0.68,0
09:06.6,-0.68,0
09:06.7,-0.68,0
09:06.8,-0.68,0
09:06.9,-0.68,0
09:07.0,-0.68,0
09:07.1,-0.68,0
09:07.2,-0.68,0
09:07.3,-0.62,0
09:07.4,-0.68,0
09:07.5,-0.68,0
09:07.6,-0.68,0
09:07.7,-0.62,0
09:07.8,-0.68,0
09:07.9,-0.68,0
09:08.0,-0.68,0
09:08.1,-0.68,0
09:08.2,-0.68,0
09:08.3,-0.62,0
09:08.4,-0.68,0
09:08.5,-0.68,0
09:08.6,-0.68,0
