timestamp,pressure_kpa,volume_db,frequency_hz,cycle_number,audio_file,event_type,playhead_time
2025-02-07 12:15:40.847178,0.00,0.00,602.9,0,Sybianne8.mp3,hooray_started,1155.9
2025-02-07 12:25:09.091904,0.00,0.00,850.6,0,EFun-800-Blast Me 30.Mp3,hooray_started,153.9
2025-02-07 12:29:22.483785,0.00,0.00,850.6,0,EFun-800-Blast Me 30.Mp3,hooray_started,107.2
2025-02-07 12:29:35.000120,0.00,0.00,850.6,0,EFun-800-Blast Me 30.Mp3,hooray_started,119.7
2025-02-07 12:29:50.617842,0.00,0.00,850.6,0,EFun-800-Blast Me 30.Mp3,hooray_started,135.3
2025-02-07 12:30:08.895562,0.00,0.00,850.6,0,EFun-800-Blast Me 30.Mp3,hooray_started,153.6
2025-02-07 12:38:06.272771,0.00,0.00,559.9,0,SA - Riding Home intense edit.mp3,hooray_started,3.6
2025-02-07 12:38:27.412972,0.00,0.00,624.5,0,SA - Riding Home intense edit.mp3,hooray_started,24.8
2025-02-07 12:42:20.156736,0.00,0.00,559.9,0,SA - Riding Home intense edit.mp3,hooray_started,45.3
2025-02-07 12:42:55.677787,0.00,0.00,559.9,0,SA - Riding Home intense edit.mp3,hooray_started,80.8
2025-02-07 12:52:55.697145,0.00,0.00,559.9,0,SA - Riding Home intense edit.mp3,hooray_started,44.4
2025-02-07 12:53:42.441301,0.00,0.00,602.9,0,SA - Riding Home intense edit.mp3,hooray_started,91.1
2025-02-07 12:54:40.583034,0.00,0.00,398.4,0,EM-12-Electric Milking.Mp3,hooray_started,19.7
2025-02-07 12:59:05.075536,0.00,0.00,689.1,0,finisher 2.mp3,hooray_started,102.9
2025-02-07 12:59:22.081450,0.00,0.00,689.1,0,finisher 2.mp3,hooray_started,119.9
2025-02-07 12:59:42.354728,0.00,0.00,710.6,0,finisher 2.mp3,hooray_started,140.2
2025-02-07 12:59:58.588710,0.00,0.00,710.6,0,finisher 2.mp3,hooray_started,156.4
2025-02-07 13:00:17.322714,0.00,0.00,689.1,0,finisher 2.mp3,hooray_started,175.2
